corp_code,종목코드
00145464,025820
00109161,006890
00529815,080520
00101628,000050
00363486,071280
00111865,028040
00823429,123690
00303396,054040
01061327,214150
00616962,277070
00174004,002920
00665630,151750
00985686,182360
00571483,138080
00974927,160550
00123107,002760
00125725,016670
00899459,228850
00220561,037710
00165343,003010
00148595,038010
00409964,106190
00159218,051600
00129615,027580
00258689,035900
01117422,244880
00101220,001390
00491415,115310
00152686,007810
00162993,003300
00124027,011390
00800145,122690
00145686,000760
00411385,078070
00660291,109080
00258360,036090
01124653,236200
00332927,194370
00389110,051160
00266952,042420
00398792,064960
00148920,004910
01170865,253590
00484682,083310
01437292,357250
00136864,009270
00155373,093380
00533003,105740
00336297,049720
00137809,001770
00136457,002360
00111193,108380
00159175,009720
00490179,075130
01258710,302430
00678096,141070
00220686,058610
00429694,177830
00138598,036010
00673976,114570
00857727,136480
00803425,123410
00228536,041440
00118345,001530
00636656,099430
00476036,083500
00121288,005360
00146269,003200
00155382,065940
00608316,131220
00157539,024120
00671978,204020
00130091,007540
00138729,002310
00531014,084370
01584934,417180
00172936,004890
00307222,057030
00369170,051370
00151395,000650
00235147,073070
00530556,122640
01046203,204630
00153126,005740
00128661,031330
00641171,100030
00493510,085670
00223434,036810
00131504,011370
00864338,196700
00579980,084850
01169267,252500
00130383,006730
00146560,019540
00325112,053610
00925295,173940
00610083,141000
01065785,229500
00496225,087730
01141599,261780
00653024,272450
00203582,025750
01063990,215100
00938721,161580
00250997,120240
00599957,094840
00116806,012760
00165583,017940
00860332,138040
00159023,017670
01562589,383800
00138297,011810
00160010,021650
00159795,017960
00807379,243840
01264234,311060
00105952,006260
00366517,112190
00378628,060720
00897752,278280
00206039,039240
00160621,003350
00340096,100790
00363246,046940
00539274,084690
00145473,044960
00357607,054410
00365624,090150
01180118,417310
00575106,376290
01397772,365270
01440481,351340
01166109,250930
01441611,376980
00533508,094970
00267942,016600
00405320,069080
00203023,025320
01506848,419540
00609661,204610
00216498,037350
00298340,039440
01244601,377300
00161444,016830
00150244,000080
01174038,254120
01095704,225430
01206717,448780
00166528,100660
00108977,006370
00858124,140670
00255044,039010
00148522,010820
00335076,049480
00134963,004430
00270113,058110
01133217,323410
00441650,115500
00129387,000390
00127909,032280
00243757,039290
00478900,093190
01419986,344050
01028164,192530
00346966,052510
01418543,342550
00148948,001550
01405390,347770
00553025,199150
00124151,005030
00157070,025540
01146822,262840
00965062,189350
01513440,368770
01014718,361390
00343127,046840
00870861,155650
01354740,365900
00189538,032580
00231354,037030
01032486,241560
